uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,location_start_date,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,lic,lic_code_description,lic_code_descriptions_list,supervisor_district,neighborhoods_analysis_boundaries,location,data_as_of,data_loaded_at,dba_end_date,location_end_date,business_corridor,administratively_closed
1299872-03-221-1110060,1299872-03-221,1110060,Bunbao.Com,Bunbao Food Truck,601 Mission Bay N Blvd,San Francisco,CA,94158,2020-01-06T00:00:00.000,2022-03-09T00:00:00.000,34755 Ardenwood Blvd,Fremont,94555,CA,7220-7229,Food Services,Food Services,False,False,H78,MOBILE FOOD FACILITY 4,MOBILE FOOD FACILITY 4,6,Mission Bay,"{'type': 'Point', 'coordinates': [-122.388589, 37.771594]}",2025-03-08T00:00:00.000,2025-03-08T04:11:37.000,,,,
1299878-03-221-1133045,1299878-03-221,1133045,Melih Oztas,Mell,649 9th Ave Apt 3,San Francisco,CA,94118,2022-03-09T00:00:00.000,2022-03-09T00:00:00.000,,,,,4400-4599,Retail Trade,Retail Trade,False,False,,,,1,Inner Richmond,"{'type': 'Point', 'coordinates': [-122.467491, 37.776177]}",2025-03-08T00:00:00.000,2025-03-08T04:11:37.000,2022-06-18T00:00:00.000,2022-06-18T00:00:00.000,,
1299820-03-221-1133023,1299820-03-221,1133023,Summit Comm Inc,Summit Comm Inc,308 Po Box,Lincoln,CA,95648,2022-03-09T00:00:00.000,2022-03-09T00:00:00.000,308 Po Box,Lincoln,95648,CA,2300-2399,Construction,Construction,False,False,,,,,,"{'type': 'Point', 'coordinates': [-121.29407, 38.890675]}",2025-03-08T00:00:00.000,2025-03-08T04:11:37.000,,,,
1299853-03-221-1133033,1299853-03-221,1133033,Eduardo's Transport And Logistic Inc,Etl,3575 Keith St Apt 202,San Francisco,CA,94124,2022-03-09T00:00:00.000,2022-03-09T00:00:00.000,,,,,4800-4999,Transportation and Warehousing,Transportation and Warehousing,False,False,,,,10,Bayview Hunters Point,"{'type': 'Point', 'coordinates': [-122.3985375, 37.718604]}",2025-03-08T00:00:00.000,2025-03-08T04:11:37.000,2023-06-30T00:00:00.000,2023-06-30T00:00:00.000,,
1299910-03-221-1133063,1299910-03-221,1133063,Jiajun Huang,Sidedoor Kicks,490 S Van Ness Ave Apt 403,San Francisco,CA,94103,2022-03-09T00:00:00.000,2022-03-09T00:00:00.000,681 Florida St Apt 613,San Francisco,94110,CA,4200-4299,Wholesale Trade,Wholesale Trade,False,False,,,,9,Mission,"{'type': 'Point', 'coordinates': [-122.417838, 37.765485]}",2025-03-08T00:00:00.000,2025-03-08T04:11:37.000,,,,
1299933-03-221-1074464,1299933-03-221,1074464,"De Fonte Law, A Professional Corporation",Estate Planning With Heart,4104 24th St Ste 212,San Francisco,CA,94114,2017-08-08T00:00:00.000,2022-03-09T00:00:00.000,4104 24th St Ste 212,San Francisco,94114,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,8,Noe Valley,"{'type': 'Point', 'coordinates': [-122.4343935, 37.751445]}",2025-03-08T00:00:00.000,2025-03-08T04:11:37.000,,2022-03-09T00:00:00.000,24th St,
1299816-03-221-1133021,1299816-03-221,1133021,Robert Earl Guillory,Reg Construction,480 Santa Barbara Ave 480,Daly City,CA,94014,2022-03-09T00:00:00.000,2022-03-09T00:00:00.000,480 Santa Barbara Ave # 480,Daly City,94014,CA,2300-2399,Construction,Construction,False,False,,,,,,"{'type': 'Point', 'coordinates': [-122.464337983, 37.701679993]}",2025-03-08T00:00:00.000,2025-03-08T04:11:37.000,,,,
1300036-03-221-1133113,1300036-03-221,1133113,Sig'natur Cuts & Styles,Sig'natur Cuts & Styles,1906 Mcallister St,San Francisco,CA,94115,2022-03-09T00:00:00.000,2022-03-09T00:00:00.000,1906 Mcallister St Bldg,San Francisco,94115,CA,6100-6299 8100-8139,Multiple,Private Education and Health Services; Certain Services,False,False,,,,2,Lone Mountain/USF,"{'type': 'Point', 'coordinates': [-122.44353, 37.777164]}",2025-03-08T00:00:00.000,2025-03-08T04:11:37.000,,,,
1299895-03-221-1133054,1299895-03-221,1133054,"Ssbd, A Professional Law Corporation","Ssbd, A Professional Law Corporation",23 Prosper Street St,San Francisco,CA,94114,2022-03-09T00:00:00.000,2022-03-09T00:00:00.000,,,,,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,8,Castro/Upper Market,"{'type': 'Point', 'coordinates': [-122.4315765, 37.76391]}",2025-03-08T00:00:00.000,2025-03-08T04:11:37.000,2023-05-20T00:00:00.000,2023-05-20T00:00:00.000,,
1299839-03-221-1133028,1299839-03-221,1133028,"Interactive Resources, Inc.","Interactive Resources, Inc.",117 Park Pl,Richmond,CA,94801,2022-03-09T00:00:00.000,2022-03-09T00:00:00.000,117 Park Pl,Richmond,94801,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,,,,,,"{'type': 'Point', 'coordinates': [-122.38470697, 37.926623997]}",2025-03-08T00:00:00.000,2025-03-08T04:11:37.000,,,,
