permit_number,permit_type,permit_type_definition,permit_creation_date,block,lot,street_number,street_name,street_suffix,description,status,status_date,number_of_existing_stories,number_of_proposed_stories,estimated_cost,existing_use,existing_units,proposed_use,proposed_units,plansets,existing_occupancy,proposed_occupancy,existing_construction_type,existing_construction_type_description,proposed_construction_type,proposed_construction_type_description,last_permit_activity_date,application_submission_method,adu,primary_address_flag,supervisor_district,neighborhoods_analysis_boundaries,zipcode,location,point_source,record_id,data_as_of,data_loaded_at,filed_date,issued_date,completed_date,revised_cost,unit,fire_only_permit,unit_suffix,structural_notification,site_permit,street_number_suffix,first_construction_document_date
202403087477,3,additions alterations or repairs,2024-03-08T00:00:00.000,5723,026,625,Moultrie,St,"legalize existing first fl unit under ordinance no.43-14, new electric meter & heating system,remodel & reconfigure(e)lower fl unit, (n)fire sprinkler @ lower fl only, seismic upgrade based upon structal plans,(n)metal open railing at front.",cancelled,2024-08-13T12:55:43.000,3,3,1.0,1 family dwelling,1.0,2 family dwelling,2.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-15T12:04:11.000,in-house,N,Y,9,Bernal Heights,94110,"{'type': 'Point', 'coordinates': [-122.415801156, 37.736810281]}",eas_address_point,1690064187903,2025-02-07T23:55:01.000,2025-02-08T03:30:01.304,,,,,,,,,,,
202403087466,8,otc alterations permit,2024-03-08T00:00:00.000,0913,026,3750,Divisadero,St,3 ply water proof membrane tile patch stucco paint. retile south side rear deck.,complete,2024-09-20T11:08:37.000,3,3,20000.0,2 family dwelling,2.0,2 family dwelling,2.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T14:45:49.000,in-house,N,Y,2,Marina,94123,"{'type': 'Point', 'coordinates': [-122.443435874, 37.804413734]}",eas_address_point,1690054388020,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T13:59:39.000,2024-03-08T14:47:38.000,2024-09-20T11:08:37.000,20000.0,,,,,,,
202403087453,8,otc alterations permit,2024-03-08T00:00:00.000,5615,024D,57,Virginia,Av,structural repair at front of main entrance staircase. window replacement on 2/f dining room facing street. no change to size or operation.,complete,2024-07-31T11:33:04.000,2,2,2500.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-05-24T07:42:54.000,in-house,N,Y,9,Bernal Heights,94110,"{'type': 'Point', 'coordinates': [-122.420541741, 37.742857288]}",eas_address_point,1690051184873,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T12:49:13.000,2024-05-24T07:48:48.000,2024-07-31T11:33:04.000,10000.0,,,,,,,
202403087468,8,otc alterations permit,2024-03-08T00:00:00.000,3555,049,61,Albion,St,replace 16 windows. all windows replacement type front will be wood flad windows. 10 windows on the back/not visible from street will be vinyl windows. u=.30max,complete,2024-07-16T13:44:29.000,3,3,14400.0,apartments,3.0,apartments,3.0,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-03-08T14:54:50.000,in-house,N,Y,9,Mission,94103,"{'type': 'Point', 'coordinates': [-122.422960373, 37.765554016]}",eas_address_point,1690055408920,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T14:11:34.000,2024-03-08T14:56:20.000,2024-07-16T13:44:29.000,14400.0,0,,,,,,
202403087381,8,otc alterations permit,2024-03-08T00:00:00.000,8721,010,500,Terry A Francois,Bl,replace fire pump like for like,issued,2024-03-08T08:45:40.000,6,6,28000.0,office,0.0,office,0.0,2,B,B,1,constr type 1,1,constr type 1,2024-03-08T08:43:30.000,in-house,N,Y,6,Mission Bay,94158,"{'type': 'Point', 'coordinates': [-122.38708001, 37.770471859]}",eas_address_point,1689967509950,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T07:52:17.000,2024-03-08T08:45:40.000,,91034.0,,Y,,,,,
202403087434,8,otc alterations permit,2024-03-08T00:00:00.000,7069,005,619,Capitol,Av,remove all (e) siding. replace with new plywood. new weather barrier. install james hardie lap siding and shingles - about 2600 sf. lap siding on the bottom first floor wood shingle 2nd floor.,complete,2024-07-11T14:08:04.000,2,2,50000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-20T10:25:05.000,in-house,N,Y,11,Oceanview/Merced/Ingleside,94112,"{'type': 'Point', 'coordinates': [-122.459259033, 37.716059758]}",eas_address_point,1690021220152,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T11:18:49.000,2024-03-20T10:29:02.000,2024-07-11T14:08:04.000,50000.0,,,,,,,
202403087420,8,otc alterations permit,2024-03-08T00:00:00.000,0078,024,1714,Grant,Av,ref pa# 202308073844 installation of a new sprinkler monitoring system,issued,2024-03-08T13:22:07.000,3,3,5000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T13:20:26.000,in-house,N,Y,3,North Beach,94133,"{'type': 'Point', 'coordinates': [-122.407816142, 37.802784287]}",eas_address_point,169000657905,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T10:47:18.000,2024-03-08T13:22:07.000,,5000.0,,Y,,,,,
202403087487,8,otc alterations permit,2024-03-08T00:00:00.000,1209,014,1748,Fell,St,to obtain final inspection for work approved under 202007150246. all work completed,complete,2024-06-04T15:18:43.000,3,3,1.0,apartments,5.0,apartments,5.0,0,R-2,R-2,5,wood frame (5),5,wood frame (5),2024-03-08T15:44:54.000,in-house,N,Y,5,Lone Mountain/USF,94117,"{'type': 'Point', 'coordinates': [-122.44687281, 37.77317027]}",eas_address_point,1690077410400,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T15:36:06.000,2024-03-08T15:57:51.000,2024-06-04T15:18:43.000,1.0,0,,,,,,
202403087459,8,otc alterations permit,2024-03-08T00:00:00.000,3281,023,22,Fairfield,Wy,"revision to permit 202401194284. structural revision to clarify concrete strength = 2,500 psi per special inspection plan checker.",complete,2024-03-12T11:34:22.000,2,2,1.0,1 family dwelling,1.0,1 family dwelling,1.0,2,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-11T09:18:27.000,in-house,N,Y,7,West of Twin Peaks,94127,"{'type': 'Point', 'coordinates': [-122.463233419, 37.726338202]}",eas_address_point,1690044155855,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T13:18:22.000,2024-03-11T09:22:19.000,2024-03-12T11:34:22.000,1.0,,,,,,,
202403087377,8,otc alterations permit,2024-03-08T00:00:00.000,1436,043,329,Clement,St,"remodel 2nd floor residential apartment. add 1/2 bath. new wiring. replace 12 windows (u=.30max) , non street facing. replace water heater and furnace. add new bedroom and closet. add washer and dryer. remodel bath and kitchen",complete,2024-10-08T11:23:35.000,2,2,60000.0,1 family dwelling,1.0,1 family dwelling,1.0,2,"R-3,B","R-3,B",5,wood frame (5),5,wood frame (5),2024-03-11T08:22:44.000,in-house,N,Y,1,Inner Richmond,94118,"{'type': 'Point', 'coordinates': [-122.462799037, 37.782774798]}",eas_address_point,168996399716,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T07:44:41.000,2024-03-11T08:40:10.000,2024-10-08T11:23:35.000,100000.0,,,,,,,
202403087394,8,otc alterations permit,2024-03-08T00:00:00.000,1628,001A,605,16th,Av,reroofng,issued,2024-03-08T09:16:12.000,3,3,12000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-08T09:13:28.000,in-house,N,Y,1,Outer Richmond,94118,"{'type': 'Point', 'coordinates': [-122.47506928, 37.776518149]}",eas_address_point,1689980107497,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T08:58:45.000,2024-03-08T09:16:12.000,,12000.0,,,,,,,
202403087416,8,otc alterations permit,2024-03-08T00:00:00.000,1009,013,3460,Sacramento,St,to obtain final inspection for work approved under pa# 202203301210. all work is complete.,complete,2024-04-08T13:37:00.000,3,3,1.0,retail sales,8.0,retail sales,8.0,0,"R-2,M","R-2,M",5,wood frame (5),5,wood frame (5),2024-03-08T10:37:36.000,in-house,N,Y,2,Presidio Heights,94118,"{'type': 'Point', 'coordinates': [-122.44970321, 37.788100196]}",eas_address_point,169000286984,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T10:35:58.000,2024-03-08T10:39:28.000,2024-04-08T13:37:00.000,1.0,,,,,,,
202403087445,8,otc alterations permit,2024-03-08T00:00:00.000,6191,031,475,Wilde,Av,reroofing: tear off existing roof and reroof with 1200 sq ft of new torch roof to flat roof.,complete,2024-04-10T11:47:50.000,1,1,17000.0,1 family dwelling,1.0,1 family dwelling,1.0,0,R-3,R-3,5,wood frame (5),5,wood frame (5),2024-03-13T09:53:38.000,in-house,N,Y,10,Visitacion Valley,94134,"{'type': 'Point', 'coordinates': [-122.406995778, 37.717507122]}",eas_address_point,1690033197851,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T12:27:53.000,2024-03-13T10:03:34.000,2024-04-10T11:47:50.000,17000.0,,,,,,,
202403087400,8,otc alterations permit,2024-03-08T00:00:00.000,0222A,039,1170,Sacramento,St,unit 11c: provide and install new door frame at new opening. relocate existing door. install new drywall at existing opening.,issued,2024-03-21T11:16:06.000,19,19,10000.0,apartments,72.0,apartments,72.0,2,R-2,R-2,1,constr type 1,1,constr type 1,2024-03-21T11:12:01.000,in-house,N,Y,3,Nob Hill,94108,"{'type': 'Point', 'coordinates': [-122.412189623, 37.792930206]}",eas_address_point,1689985486832,2025-02-03T23:55:01.000,2025-02-04T03:31:57.942,2024-03-08T09:12:07.000,2024-03-21T11:16:06.000,,10000.0,11,,C,,,,
