name,website,industry,funding,employees,source,timestamp,is_ai,employee_count
Mercor,https://mercor.com,Artificial Intelligence,75000000.0,Series B,GrowthList,2025-03-23 09:03:09,True,0
Created by Humans,https://www.createdbyhumans.ai,Artificial Intelligence,5500000.0,Seed,GrowthList,2025-03-23 09:03:09,True,0
Manas AI,https://www.manasai.co,Artificial Intelligence,24600000.0,Seed,GrowthList,2025-03-23 09:03:09,True,0
BluWhale,https://bluwhale.net,"Artificial Intelligence, Cloud Computing",75000000.0,Initial Coin Offering,GrowthList,2025-03-23 09:03:09,True,0
Savant Labs,https://savantlabs.io,"Artificial Intelligence, Data, Analytics",18500000.0,Series A,GrowthList,2025-03-23 09:03:09,True,0
Athenic AI,https://Athenic.com,"Artificial Intelligence, Data, Analytics",4300000.0,Seed,GrowthList,2025-03-23 09:03:09,True,0
Delve,https://www.delve.co,"Artificial Intelligence, Data, Marketing",3300000.0,Seed,GrowthList,2025-03-23 09:03:09,True,0
Motif,https://motif.io,Augmented Reality,46000000.0,Series A,GrowthList,2025-03-23 09:03:09,False,0
Atomicwork,https://www.atomicwork.com,Cloud Computing,25000000.0,Series A,GrowthList,2025-03-23 09:03:09,False,0
Kroskod,https://Kroskod.com,Cloud Computing,0.0,Pre-Seed,GrowthList,2025-03-23 09:03:09,False,0
Roofr,https://roofr.com,"Construction, Marketplace, Aerospace",0.0,Series B,GrowthList,2025-03-23 09:03:09,False,0
Pakal Technologies,https://pakal-tech.com,Electronics,25000000.0,Series B,GrowthList,2025-03-23 09:03:09,False,0
Smart Wires,https://www.smartwires.com,Energy,65000000.0,Private Equity,GrowthList,2025-03-23 09:03:09,False,0
WeaveGrid,https://www.weavegrid.com,"Energy, Cloud Computing",0.0,Venture - Series Unknown,GrowthList,2025-03-23 09:03:09,False,0
Wisetack,https://www.wisetack.com,Finance,25000000.0,Venture - Series Unknown,GrowthList,2025-03-23 09:03:09,False,0
Taxflow,https://www.jointaxflow.ai,"FinTech, Finance",750000.0,Pre-Seed,GrowthList,2025-03-23 09:03:09,False,0
Bicycle Health,https://www.bicyclehealth.com,Healthcare,16500000.0,Venture - Series Unknown,GrowthList,2025-03-23 09:03:09,False,0
Delfina,https://www.delfina.com,Healthcare,17000000.0,Series A,GrowthList,2025-03-23 09:03:09,False,0
Safely You,https://www.safely-you.com,"Healthcare, Family",43000000.0,Series C,GrowthList,2025-03-23 09:03:09,False,0
Waterlily,https://www.waterlily.com,"Healthcare, Insurance, Family",7000000.0,Seed,GrowthList,2025-03-23 09:03:09,False,0
Tandem Space,https://tandem.space,Aerospace,6100000.0,Seed,GrowthList,2025-03-23 09:03:09,False,0
Riot,https://tryriot.com,Artificial Intelligence,30000000.0,Series B,GrowthList,2025-03-23 09:03:09,True,0
Response,https://www.tryresponse.com,Artificial Intelligence,4160000.0,Seed,GrowthList,2025-03-23 09:03:09,True,0
TrueFoundry,https://truefoundry.com,Artificial Intelligence,19000000.0,Series A,GrowthList,2025-03-23 09:03:09,True,0
