uniqueid,business_id,certificate_number,owner,name,address,city,state,zip_code,dba_start_date,founded_date,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code_x,naic_code_description_x,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,supervisor_district,neighborhoods_analysis_boundaries,location,data_as_of,data_loaded_at,dba_end_date,location_end_date,lic,lic_code_description,lic_code_descriptions_list,administratively_closed,business_corridor,naic_code_y,naic_code_description_y,is_tech,name_contains_tech,data_source,source_file,company_name,founding_year
1274816-04-211-0391825,1274816-04-211,391825.0,Net App Inc,"Netapp, Inc.",565 Commercial St Ste 200,San Francisco,CA,94111.0,2013-05-31,2020-05-01,3060 Olsen Dr,San Jose,95128.0,CA,3100-3399,Manufacturing,Manufacturing,False,False,3.0,Chinatown,"{'type': 'Point', 'coordinates': [-122.4026055, 37.794087]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,3100-3399,Manufacturing,False,True,DataSF,datasf_tech_businesses.csv,,
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,"Maiten Consulting, LLC",2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Hung Mai Corporation Dba Floor Pros,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Draintek Plumbing Inc,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Aciif Ai Forensics Celta Academy,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,"California College Of Business, Science & Technology",2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Tailwinds,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Comfort Home Heating & Air,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Pulido's Painting,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Hawkeye Safety Training,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Leico Tire & Auto Repair,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Tailwinds Advisory,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Evolve Digitally LLC,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,"Mosaic Ai Labs, Inc.",2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Smart & Beyond Painting Inc,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,"Riley Ai, Inc.",2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Taishan Food Gift Shop,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Mova.Ai,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Danny's Hair Studio SF,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Taldea Services And Maintenance,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Miguel Painting,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Luckyxhair,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Aireserv Of Campbell And Saratoga,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Rainbow Beauty Spa,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Straightedge Handyman Service And Solutions,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Insul-Tech Contracting,2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,"Bay-Valley Painting, Inc.",2025.0
,,,,,,,CA,,,,,,,,,,,,,,,San Francisco,,,,,,,,,,,,,,DataSF API,datasf_tech_businesses copy.csv,Heating And Air Design,2025.0
