Employbl Company ID,Company Name,Website,Address 1,City,State,Zip,Latitude,Longitude,Company Description,Thumbnail URL,source_file
6,23andMe,23andme.com,899 W Evelyn Ave,Mountain View,CA,94041.0,37.395208,-122.079159,"Discover what 125+ personalized reports have to say about your ancestry, health, traits and more.",,silicon-valley-companies.csv
1075,280 Group,280group.com,142B S Santa Cruz Ave,Los Gatos,CA,95030.0,37.220624,-121.985589,"Let 280 Group help you leverage our proven process for Product Management and Product Marketing through training, certification, consulting, and more.",,silicon-valley-companies.csv
984,5AM Ventures,5amventures.com,2200 Sand Hill Road,Menlo Park,CA,94025.0,37.422774,-122.199215,5AM Ventures is a leading venture capital firm focused on building next-generation life science companies capable of delivering outstanding returns to our investors.,,silicon-valley-companies.csv
1088,Accel,www.accel.com,2500 Sand Hill Road,Menlo Park,CA,94025.0,37.42175,-122.204843,"We partner with exceptional founders with unique insights, from inception through all phases of growth.",,silicon-valley-companies.csv
15,Addepar,addepar.com,303 Bryant St,Mountain View,CA,94041.0,37.39267,-122.080849,"Addepar is the first performance reporting platform that easily handles all of your assets, connecting your financial goals and objectives with real world actionable insights.",,silicon-valley-companies.csv
16,Adecco Group,www.adeccogroup.com,903 Sneath Ln Ste 123,San Bruno,CA,94066.0,37.635,-122.424555,"In the world of work, The Adecco Group is the world's leading provider of temporary staffing, permanent placement, career transition and talent development",,silicon-valley-companies.csv
18,Adobe,www.adobe.com,601 Townsend St,San Francisco,CA,94103.0,37.771206,-122.401662,"Adobe is changing the world through digital experiences. We help our customers create, deliver and optimize content and applications.",,silicon-valley-companies.csv
1081,AgilOne,acquia.com,771 Vaqueros Ave,Sunnyvale,CA,94085.0,37.395589,-122.031758,"AgilOne is now part of Acquia. AgilOne is a customer data platform for enterprise B2C companies. AgilOne's vision is to restore the personal relationships companies once had with customers before channel-specific marketing silos got in the way. Through a single view of customers across all channels, predictive models to understand customer behavior, and real-time APIs to orchestrate personalized experiences across all touch-points, AgilOne creates authentic omni-channel customer relationships that maximize lifetime value.",,silicon-valley-companies.csv
33,Alation,alation.com,805 Veterans Blvd #307,Redwood City,CA,94063.0,37.491223,-122.228606,"Alation's Data Catalog empowers analysts & information stewards to search, query and collaborate for fast, accurate insights and confident decision-making.",,silicon-valley-companies.csv
35,AlienVault,www.alienvault.com,1100 Park Pl #300,San Mateo,CA,94403.0,37.545105,-122.290819,"At AT&T Cybersecurity our mission is to provide phenomenal threat intelligence, collaborative defense & effective security for organizations of all sizes.",,silicon-valley-companies.csv
986,Altimeter Capital,,2420 Sand Hill Road,Menlo Park,CA,94025.0,37.422643,-122.203958,,,silicon-valley-companies.csv
987,Altos Ventures,,2882 Sand Hill Road,Menlo Park,CA,94025.0,37.421968,-122.214066,,,silicon-valley-companies.csv
41,Amazon,amazon.com,1900 University Ave,East Palo Alto,CA,94303.0,37.459056,-122.142821,"Online shopping from the earth's biggest selection of books, magazines, music, DVDs, videos, electronics, computers, software, apparel & accessories, shoes,",,silicon-valley-companies.csv
43,Ambient.ai,ambient.ai,459 Hamilton Ave,Palo Alto,CA,94301.0,37.447222,-122.158617,"We are a small team of Stanford graduates and software engineers with extensive research experience in imaging, neuroscience, deep learning and artificial intelligence. We've previously built mission-critical products and infrastructure at companies like Apple, Google, Microsoft and Dropbox. We're on a mission to advance the state-of-the-art in Vision AI.",,silicon-valley-companies.csv
44,AMD,www.amd.com,2485 Augustine Dr,Santa Clara,CA,95054.0,37.382925,-121.970384,"Advanced Micro Devices, Inc. (AMD) is an American multinational semiconductor company",,silicon-valley-companies.csv
1097,Amply Power,www.amplypower.com,335 E Middlefield Rd,Mountain View,CA,94043.0,37.396461,-122.058804,"AMPLY Power's Charging-as-a-Service model de-risks and accelerates the adoption of electric buses, trucks, and cars.",,silicon-valley-companies.csv
988,Andreessen Horowitz,a16z.com,2865 Sand Hill Road,Menlo Park,CA,94025.0,37.41973,-122.214244,"Andreessen Horowitz is a private American venture capital firm, founded in 2009 by Marc Andreessen and Ben Horowitz. The company is headquartered in Menlo Park, California. Andreessen Horowitz invests in both early-stage start-ups and established growth companies.",,silicon-valley-companies.csv
49,Anomali,anomali.com,808 Winslow St,Redwood City,CA,94063.0,37.486075,-122.231216,Anomali is a Threat Intelligence Platform that enables businesses to integrate security products and leverage threat data to defend against cyber threats.,,silicon-valley-companies.csv
55,Apple,www.apple.com,Apple Campus,Cupertino,CA,95014.0,37.33182,-122.03118,"Discover the innovative world of Apple and shop everything iPhone, iPad, Apple Watch, Mac, and Apple TV, plus explore accessories, entertainment, and expert",,silicon-valley-companies.csv
61,Apttus,apttus.com,1400 Fashion Island Blvd #100,San Mateo,CA,94404.0,37.556081,-122.288161,"Apttus provides category-defining Quote-to-Cash software delivering CPQ, Contract Management, E-Commerce & Revenue Management.",,silicon-valley-companies.csv
919,Arista,arista.com,5453 Great America Pkwy,Santa Clara,CA,95054.0,37.412161,-121.97603,Arista Networks was founded to pioneer and deliver software-driven cloud networking solutions for large data center storage and computing environments.,,silicon-valley-companies.csv
62,Armory,www.armory.io,28 E 3rd Ave #200,San Mateo,CA,94401.0,37.56325,-122.325167,Continuous Deployment for the Enterprise,,silicon-valley-companies.csv
902,Ascend,tryascend.com,,San Jose,CA,,37.338208,-121.886329,Ascend is a full service debt settlement and debt relief company to help people get and stay out of debt.,,silicon-valley-companies.csv
66,ASUS,www.asus.com,48720 Kato Rd,Fremont,CA,94538.0,37.461544,-121.923311,"ASUS is a worldwide top-three consumer notebook brand that creates innovative technology to deliver a seamless, joyful digital life for everyone.",,silicon-valley-companies.csv
70,Avast,avast.com,2625 Broadway,Redwood City,CA,94063.0,37.485898,-122.233689,"Join 435 million others and get award-winning free antivirus for PC, Mac & Android. Surf safely & privately with our VPN. Download Avast today!",,silicon-valley-companies.csv
1100,Baidu USA,usa.baidu.com,1195 Bordeaux Dr,Sunnyvale,CA,94089.0,37.409228,-122.023987,"Located in the heart of Silicon Valley, Baidu USA is one of the R&D centers of Baidu, China’s largest search engine provider. Baidu USA’s team of elite, world-class researchers and engineers devote their time to tackling the most challenging, change-the-world projects in AI and related fields",,silicon-valley-companies.csv
76,Barracuda,www.barracuda.com,3175 S Winchester Blvd,Campbell,CA,95008.0,37.267651,-121.957931,"Barracuda Networks is the worldwide leader in Security, Application Delivery and Data Protection Solutions.",,silicon-valley-companies.csv
989,Battery Ventures,,2884 Sand Hill Road,Menlo Park,CA,94025.0,37.421944,-122.21513,,,silicon-valley-companies.csv
81,Benevity,benevity.com,32 W 25th Ave #203,San Mateo,CA,94403.0,37.544091,-122.306726,Benevity's goodness platform empowers socially conscious brands to make a real difference. Learn how we can make your giving programs great.,,silicon-valley-companies.csv
84,Betterworks,betterworks.com,999 Main St,Redwood City,CA,94063.0,37.484282,-122.225865,"Continuous Performance Management with Betterworks can help improve employee engagement, OKRs and employee development.",,silicon-valley-companies.csv
98,Blue River Technology,www.bluerivertechnology.com,575 N Pastoria Ave,Sunnyvale,CA,94085.0,37.391861,-122.034289,Blue River Technology is building the next generation of smart agriculture equipment.,,silicon-valley-companies.csv
100,BlueJeans,www.bluejeans.com,516 Clyde Ave,Mountain View,CA,94043.0,37.398873,-122.047364,BlueJeans Network is the most advanced way to enable video conferencing in the workplace or on the road. Our goal is to make video as easy and pervasive as audio communications and create visual experiences that people love.,,silicon-valley-companies.csv
