name,description,hq,funding,website,employees
Numeric,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Render,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Harvey,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Semgrep,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
HighTouch.io,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Qventus,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Speak,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Databricks,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Kong,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Cresta,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Infinitus,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Nooks,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Decagon,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
World Labs,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Safe Superintelligence,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Harmonic,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Atlys,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Cortex,N/A,"San Francisco Bay Area, California, USA",N/A,N/A,N/A
Get newly funded startups delivered to you weekly,N/A,N/A,N/A,N/A,N/A
