company_name,location,state,founding_year,data_source,website,description,funding,industry,tags
1076 Capp,San Francisco,CA,2024,DataSF API,,,,,
115 Moffitt Air Bnb,San Francisco,CA,2025,DataSF API,,,,,
1552 Haight Street,San Francisco,CA,2025,DataSF API,,,,,
40x0 Training,San Francisco,CA,2024,DataSF API,,,,,
41x1 Training,San Francisco,CA,2024,DataSF API,,,,,
435 Duncan St Airbnb,San Francisco,CA,2024,DataSF API,,,,,
581 Capp Street,San Francisco,CA,2025,DataSF API,,,,,
848 Clement Street Tai Hing Books & Gifts,San Francisco,CA,2024,DataSF API,,,,,
949 Capp,San Francisco,CA,2024,DataSF API,,,,,
A&S Painting And Plastering Inc,San Francisco,CA,2024,DataSF API,,,,,
A1 Bright Maid,San Francisco,CA,2025,DataSF API,,,,,
Abigail Edber,San Francisco,CA,2024,DataSF API,,,,,
Aciif Ai Forensics Celta Academy,San Francisco,CA,2025,DataSF API,,,,,
Adornment Painting Inc.,San Francisco,CA,2025,DataSF API,,,,,
Advanced Data Sciences,San Francisco,CA,2025,DataSF API,,,,,
Advanced Heating And Air,San Francisco,CA,2024,DataSF API,,,,,
Agentbaseai Inc,San Francisco,CA,2024,DataSF API,,,,,
Ai Receptionist Agency,San Francisco,CA,2025,DataSF API,,,,,
Ai System,San Francisco,CA,2025,DataSF API,,,,,
Aidens Quality Painting Inc,San Francisco,CA,2024,DataSF API,,,,,
Aiherbs Inc,San Francisco,CA,2025,DataSF API,,,,,
Aimee Duddridge-Picard,San Francisco,CA,2024,DataSF API,,,,,
Aimee Golant: Metal Art & Judaica,San Francisco,CA,2024,DataSF API,,,,,
Air Sharks,San Francisco,CA,2025,DataSF API,,,,,
Airbnb,San Francisco,CA,2024,DataSF API,,,,,
Aireserv Of Campbell And Saratoga,San Francisco,CA,2025,DataSF API,,,,,
Aiurion Inc.,San Francisco,CA,2025,DataSF API,,,,,
Al Aignment Liaison,San Francisco,CA,2024,DataSF API,,,,,
Alamere Digital LLC,San Francisco,CA,2024,DataSF API,,,,,
Alice Nails,San Francisco,CA,2025,DataSF API,,,,,
All Pro Painting Inc,San Francisco,CA,2025,DataSF API,,,,,
Alp Construction & Painting Inc,San Francisco,CA,2024,DataSF API,,,,,
"Ambr Technologies, Inc.",San Francisco,CA,2024,DataSF API,,,,,
American School Of Emerging Technology,San Francisco,CA,2025,DataSF API,,,,,
Amine Jemai,San Francisco,CA,2025,DataSF API,,,,,
