uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,location_start_date,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,supervisor_district,neighborhoods_analysis_boundaries,location,data_as_of,data_loaded_at,business_corridor,location_end_date,dba_end_date
1382965-03-251-1167502,1382965-03-251,1167502,True Hands LLC,True Hands LLC,5349 California St,San Francisco,CA,94118,2025-03-08T00:00:00.000,2025-03-08T00:00:00.000,5349 California St,San Francisco,94118,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,1,Outer Richmond,"{'type': 'Point', 'coordinates': [-122.475105, 37.784106]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382977-03-251-1167507,1382977-03-251,1167507,Chillfrostcup.Com,Chillfrostcup.Com,2619 Harrison St,San Francisco,CA,94110,2025-03-08T00:00:00.000,2025-03-08T00:00:00.000,2619 Harrison St,San Francisco,94110,CA,4400-4599,Retail Trade,Retail Trade,False,False,9,Mission,"{'type': 'Point', 'coordinates': [-122.411862, 37.755468]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382975-03-251-1167506,1382975-03-251,1167506,Green Cleaning Corporation,Green Cleaning Corporation,500 Alemany Blvd,San Francisco,CA,94110,2025-03-08T00:00:00.000,2025-03-08T00:00:00.000,500 Alemany Blvd,San Francisco,94110,CA,5600-5699,Administrative and Support Services,Administrative and Support Services,False,False,9,Bernal Heights,"{'type': 'Point', 'coordinates': [-122.416632, 37.732779]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382959-03-251-1167499,1382959-03-251,1167499,Aloha Dog Club Sf LLC,Aloha Dog Club Sf LLC,5349 California St,San Francisco,CA,94118,2025-03-08T00:00:00.000,2025-03-08T00:00:00.000,5349 California St,San Francisco,94118,CA,5100-5199,Information,Information,False,False,1,Outer Richmond,"{'type': 'Point', 'coordinates': [-122.475105, 37.784106]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382969-03-251-1167504,1382969-03-251,1167504,"Maiten Consulting, LLC","Maiten Consulting, LLC",361 Texas St,San Francisco,CA,94107,2025-03-08T00:00:00.000,2025-03-08T00:00:00.000,361 Texas St,San Francisco,94107,CA,,,,False,False,10,Potrero Hill,"{'type': 'Point', 'coordinates': [-122.395185, 37.761849]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382961-03-251-1167500,1382961-03-251,1167500,Best Coast Craft LLC,Best Coast Craft LLC,5349 California St,San Francisco,CA,94118,2025-03-08T00:00:00.000,2025-03-08T00:00:00.000,5349 California St,San Francisco,94118,CA,5100-5199,Information,Information,False,False,1,Outer Richmond,"{'type': 'Point', 'coordinates': [-122.475105, 37.784106]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382963-03-251-1167501,1382963-03-251,1167501,Sf Biker Boy LLC,Sf Biker Boy LLC,5349 California St,San Francisco,CA,94118,2025-03-08T00:00:00.000,2025-03-08T00:00:00.000,5349 California St,San Francisco,94118,CA,5100-5199,Information,Information,False,False,1,Outer Richmond,"{'type': 'Point', 'coordinates': [-122.475105, 37.784106]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382909-03-251-1167476,1382909-03-251,1167476,Caldero LLC,Caldero,2149 Union St,San Francisco,CA,94123,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,2149 Union St,San Francisco,94123,CA,4400-4599,Retail Trade,Retail Trade,False,False,2,Marina,"{'type': 'Point', 'coordinates': [-122.4345825, 37.796976]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,Union Street,,
1382915-03-251-1167479,1382915-03-251,1167479,Veronica Bran,Xula,2948 Folsom St,San Francisco,CA,94110,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,2948 Folsom St,San Francisco,94110,CA,7220-7229,Food Services,Food Services,False,False,9,Mission,"{'type': 'Point', 'coordinates': [-122.414211, 37.750176]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382939-03-251-1167490,1382939-03-251,1167490,Sean Healy,Sean Healy,478 Lincoln Cir Apt 5,Millbrae,CA,94030,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,478 Lincoln Cir Apt 5,Millbrae,94030,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-122.401481672, 37.600235412]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
1382950-03-251-1167494,1382950-03-251,1167494,Cruywagen LLC,Cruywagen LLC,1110 Murchison Dr,Millbrae,CA,94030,2025-03-07T00:00:00.000,2025-03-07T00:00:00.000,1110 Murchison Dr,Millbrae,94030,CA,4800-4999,Transportation and Warehousing,Transportation and Warehousing,False,False,,,"{'type': 'Point', 'coordinates': [-122.398398641, 37.591658043]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,
