Name,Website,industry,Country,funding_amount,funding_stage,Last Funding Date,data_source
Mercor,mercor.com,Artificial Intelligence,United States,75000000.0,Series B,2025-02-01,Growth List
Created by Humans,www.createdbyhumans.ai,Artificial Intelligence,United States,5500000.0,Seed,2025-02-01,Growth List
Manas AI,www.manasai.co,Artificial Intelligence,United States,24600000.0,Seed,2025-02-01,Growth List
BluWhale,bluwhale.net,"Artificial Intelligence, Cloud Computing",United States,75000000.0,Initial Coin Offering,2025-02-01,Growth List
Savant Labs,savantlabs.io,"Artificial Intelligence, Data, Analytics",United States,18500000.0,Series A,2025-02-01,Growth List
Athenic AI,Athenic.com,"Artificial Intelligence, Data, Analytics",United States,4300000.0,Seed,2025-02-01,Growth List
Delve,www.delve.co,"Artificial Intelligence, Data, Marketing",United States,3300000.0,Seed,2025-02-01,Growth List
Motif,motif.io,Augmented Reality,United States,46000000.0,Series A,2025-02-01,Growth List
Atomicwork,www.atomicwork.com,Cloud Computing,United States,25000000.0,Series A,2025-02-01,Growth List
Kroskod,Kroskod.com,Cloud Computing,United States,,Pre-Seed,2025-02-01,Growth List
Roofr,roofr.com,"Construction, Marketplace, Aerospace",United States,,Series B,2025-02-01,Growth List
Pakal Technologies,pakal-tech.com,Electronics,United States,25000000.0,Series B,2025-02-01,Growth List
Smart Wires,www.smartwires.com,Energy,United States,65000000.0,Private Equity,2025-02-01,Growth List
WeaveGrid,www.weavegrid.com,"Energy, Cloud Computing",United States,,Venture - Series Unknown,2025-02-01,Growth List
Wisetack,www.wisetack.com,Finance,United States,25000000.0,Venture - Series Unknown,2025-02-01,Growth List
Taxflow,www.jointaxflow.ai,"FinTech, Finance",United States,750000.0,Pre-Seed,2025-02-01,Growth List
Bicycle Health,www.bicyclehealth.com,Healthcare,United States,16500000.0,Venture - Series Unknown,2025-02-01,Growth List
Delfina,www.delfina.com,Healthcare,United States,17000000.0,Series A,2025-02-01,Growth List
Safely You,www.safely-you.com,"Healthcare, Family",United States,43000000.0,Series C,2025-02-01,Growth List
Waterlily,www.waterlily.com,"Healthcare, Insurance, Family",United States,7000000.0,Seed,2025-02-01,Growth List
Tandem Space,tandem.space,Aerospace,United States,6100000.0,Seed,2025-02-01,Growth List
Riot,tryriot.com,Artificial Intelligence,United States,30000000.0,Series B,2025-02-01,Growth List
Response,www.tryresponse.com,Artificial Intelligence,United States,4160000.0,Seed,2025-02-01,Growth List
TrueFoundry,truefoundry.com,Artificial Intelligence,United States,19000000.0,Series A,2025-02-01,Growth List
Ivo,www.ivo.ai,"Artificial Intelligence, Marketing",United States,16000000.0,Series A,2025-02-01,Growth List
Warmly,warmly.ai,"Artificial Intelligence, Sales",United States,6000000.0,Series A,2025-02-01,Growth List
Plume Network,www.plumenetwork.xyz,Blockchain,United States,,Venture - Series Unknown,2025-02-01,Growth List
Monograph,monograph.com,"Cloud Computing, Architecture",United States,20000000.0,Series B,2025-02-01,Growth List
Trace.Space,trace.space,"Cloud Computing, Artificial Intelligence",United States,4000000.0,Seed,2025-02-01,Growth List
Semgrep,semgrep.dev,"Cyber Security, Analytics",United States,100000000.0,Series D,2025-02-01,Growth List
Converge,www.runconverge.com,"Data, Marketing",United States,5600000.0,Venture - Series Unknown,2025-02-01,Growth List
Archive,www.archiveresale.com,"E-commerce, Fashion, Marketplace",United States,30000000.0,Series B,2025-02-01,Growth List
TaxGPT,www.taxgpt.com,"Finance, Artificial Intelligence",United States,4600000.0,Seed,2025-02-01,Growth List
Sotira,sotira.co,"FinTech, Finance",United States,2000000.0,Pre-Seed,2025-02-01,Growth List
Little Otter,www.littleotterhealth.com,"Healthcare, Mental Health",United States,9500000.0,Venture - Series Unknown,2025-02-01,Growth List
Fay,www.faynutrition.com,"Healthcare, Wellness, Nutrition and Supplements",United States,50000000.0,Series B,2025-02-01,Growth List
Tyba,www.tyba.ai,"Human Resources, Recruiting, Artificial Intelligence",United States,13900000.0,Series A,2025-02-01,Growth List
Mixedbread,mixedbread.ai,Artificial Intelligence,United States,5500000.0,Seed,2025-02-01,Growth List
Fal,www.fal.ai,Artificial Intelligence,United States,49000000.0,Series B,2025-02-01,Growth List
Pinkfish,www.pinkfish.ai,Artificial Intelligence,United States,7600000.0,Pre-Seed,2025-02-01,Growth List
Future AGI,futureagi.com,Artificial Intelligence,United States,1600000.0,Pre-Seed,2025-02-01,Growth List
Harvey,harvey.ai,"Artificial Intelligence, Legal",United States,300000000.0,Series D,2025-02-01,Growth List
Tofu,www.tofuhq.com,Cloud Computing,United States,12000000.0,Series A,2025-02-01,Growth List
Hydro Wind Energy,www.hw.energy,Energy,United States,82660.0,Equity Crowdfunding,2025-02-01,Growth List
Limited,limitedapp.com,Finance,United States,3000000.0,Pre-Seed,2025-02-01,Growth List
Comulate,www.comulate.com,"Finance, Analytics",United States,20000000.0,Series B,2025-02-01,Growth List
museLIVE Inc.,quabble.app,Gaming,United States,,Seed,2025-02-01,Growth List
Candid Health,www.joincandidhealth.com,Healthcare,United States,52500000.0,Series C,2025-02-01,Growth List
Junevity,www.junevity.com,"Healthcare, Wellness",United States,10000000.0,Seed,2025-02-01,Growth List
Human,joinhuman.com,Human Resources,United States,7300000.0,Pre-Seed,2025-02-01,Growth List
Vouch,www.vouch.us,Insurance,United States,,Series D,2025-02-01,Growth List
Index,www.index.inc,Marketing,United States,2193705.0,Seed,2025-02-01,Growth List
Suger,www.suger.io,Marketplace,United States,15000000.0,Series A,2025-02-01,Growth List
Fifteenth,www.fifteenth.com,"Real Estate, Property Management",United States,8250000.0,Seed,2025-02-01,Growth List
