company_name,location,state,founding_year,data_source,permalink,name,homepage_url,category_list,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,founded_date,category_code,founded_month,founded_quarter,founded_year,last_milestone_at,company_age_years,location_tier,location_score,growth_potential_score,processing_date
1076 Capp,San Francisco,CA,2024.0,bay_area_startups_master.csv,,,,,,,,,,,,,,,,,,,,,,Tier 1,3,100.0,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/vrcommerce,VRCommerce,http://www.vrcommerce.co,3D Technology|Augmented Reality|E-Commerce Platforms|Games|Machine Learning,15000,operating,USA,CA,SF Bay Area,San Francisco,1.0,2015-11-01,2015-12-01,2015-12-01,2015-11-01,,,,,,9.4,Other,0,47.4635725849973,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/healvo,Healvo,https://healvo.com,Delivery|Health Care|Medical,210000,closed,USA,CA,SF Bay Area,Berkeley,2.0,2015-09-11,2015-09-11,2015-10-01,2015-09-11,,,,,,9.5,Other,0,47.43658931462493,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/icedtea,IcedTea,http://www.icedtea.io,,700000,operating,USA,CA,SF Bay Area,San Francisco,2.0,2015-09-15,2015-10-22,2015-11-18,2015-09-15,,,,,,9.5,Other,0,47.43658931462493,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/rentberry,Rentberry,http://www.rentberry.com,Marketplaces|Real Estate|Rental Housing,845000,operating,USA,CA,SF Bay Area,San Francisco,2.0,2015-08-28,2015-11-05,2015-12-03,2015-08-28,,,,,,9.5,Other,0,47.43658931462493,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/made-it,Made.it,http://www.made.it,Apps|Development Platforms|Productivity Software,400000,closed,USA,CA,SF Bay Area,San Francisco,1.0,2015-08-01,2015-01-15,2015-01-15,2015-08-01,,,,,,9.6,Other,0,47.40960604425256,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/siren-ivs,Siren Care IVS,http://siren.care,Health and Wellness,8934,operating,USA,CA,SF Bay Area,San Francisco,2.0,2015-08-18,2015-05-22,2015-11-01,2015-08-18,,,,,,9.6,Other,0,47.40960604425256,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/gazelle-integrated-media,Gazelle Integrated Media,http://www.gazelleim.com/,Media|News|Photography|Video,200000,operating,USA,CA,SF Bay Area,Walnut Creek,1.0,2015-07-01,2015-08-26,2015-08-26,2015-07-01,,,,,,9.7,Other,0,47.38262277388019,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/krad-radio,Soundctl,http://soundctl.com,Audio|Video Streaming,2,operating,USA,CA,SF Bay Area,Mountain View,1.0,2015-07-01,2015-09-23,2015-09-23,2015-07-01,,,,,,9.7,Other,0,47.38262277388019,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/epic-sky,Epic Sky,http://epicsky.co,,-,operating,USA,CA,SF Bay Area,Sausalito,1.0,2015-06-15,2015-06-01,2015-06-01,2015-06-15,,,,,,9.7,Other,0,47.38262277388019,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/turnhere-inc,"TurnHere, Inc.",,Curated Web|Digital Media|Distribution|Film|Video,11750000,operating,USA,CA,SF Bay Area,Emeryville,4.0,2015-07-15,2006-11-01,2012-06-01,2015-07-15,,,,,,9.7,Other,0,47.38262277388019,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/danny-group,Danny Group,https://imaspanse.com/,Search|Social Media,-,operating,USA,CA,SF Bay Area,Palo Alto,1.0,2015-06-21,2015-06-19,2015-06-19,2015-06-21,,,,,,9.7,Other,0,47.38262277388019,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/fashionly,FASHIONLY,http://www.fashionlyapp.com,,-,operating,USA,CA,SF Bay Area,San Francisco,1.0,2015-05-10,2015-05-10,2015-05-10,2015-05-10,,,,,,9.8,Other,0,47.355639503507824,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/jobs-made-easy,Jobs Made Easy,https://www.jobsmeplatform.com,Construction|Real Estate,35000,closed,USA,CA,SF Bay Area,Newark,1.0,2015-05-28,2015-05-28,2015-05-28,2015-05-28,,,,,,9.8,Other,0,47.355639503507824,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/realine-technology,Realine Technology,http://www.realine.net,B2B|Logistics|Software|Technology,500000,closed,USA,CA,SF Bay Area,Burlingame,1.0,2015-05-29,2014-09-01,2014-09-01,2015-05-29,,,,,,9.8,Other,0,47.355639503507824,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/jumpshot-inc,Jumpshot Inc.,http://www.jumpshot.com,Advertising|Internet|Market Research,22000000,operating,USA,CA,SF Bay Area,San Francisco,1.0,2015-05-27,2015-05-27,2015-05-27,2015-05-27,,,,,,9.8,Other,0,47.355639503507824,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/instant-esports,Instant eSports,http://instantesports.com,Apps,2130000,operating,USA,CA,SF Bay Area,San Francisco,2.0,2015-05-11,2015-06-01,2015-11-04,2015-05-11,,,,,,9.8,Other,0,47.355639503507824,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/scriptdash,ScriptDash,https://www.scriptdash.com,,-,operating,USA,CA,SF Bay Area,San Francisco,1.0,2015-06-01,2015-06-20,2015-06-20,2015-06-01,,,,,,9.8,Other,0,47.355639503507824,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/corpa,corpa,http://www.corpa.io,Enterprise Software|iOS|Mobile|PaaS,300000,operating,USA,CA,SF Bay Area,San Francisco,1.0,2015-05-20,2015-07-02,2015-07-02,2015-05-20,,,,,,9.8,Other,0,47.355639503507824,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/scaleft,ScaleFT,https://scaleft.com,Cloud Computing|Infrastructure|Security,800000,operating,USA,CA,SF Bay Area,San Francisco,1.0,2015-05-11,2015-05-11,2015-05-11,2015-05-11,,,,,,9.8,Other,0,47.355639503507824,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/cuberon,Cuberon,http://www.cuberonlabs.com,Big Data Analytics|Data Mining|Data Visualization|Machine Learning|Predictive Analytics,-,closed,USA,CA,SF Bay Area,Sunnyvale,1.0,2015-04-01,2015-08-15,2015-08-15,2015-04-01,,,,,,9.9,Other,0,47.328656233135455,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/memery-2,Memery,http://memery.com,,1500000,operating,USA,CA,SF Bay Area,Menlo Park,1.0,2015-04-13,2015-05-01,2015-05-01,2015-04-13,,,,,,9.9,Other,0,47.328656233135455,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/smartall,SmartAll,http://smartall.co,Home Automation|Internet of Things,600000,operating,USA,CA,SF Bay Area,San Francisco,2.0,2015-04-01,2015-04-01,2015-10-13,2015-04-01,,,,,,9.9,Other,0,47.328656233135455,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/paronk-consulting-llc,PARONK Consulting LLC,,Consulting|High Tech,-,closed,USA,CA,SF Bay Area,San Francisco,1.0,2015-04-21,2015-08-10,2015-08-10,2015-04-21,,,,,,9.9,Other,0,47.328656233135455,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/ever-2,Ever,http://www.everapp.co,E-Commerce|Fashion|Mobile Commerce|Services,250000,operating,USA,CA,SF Bay Area,Palo Alto,1.0,2015-05-01,2015-08-10,2015-08-10,2015-05-01,,,,,,9.9,Other,0,47.328656233135455,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/messageus,MessageUs,http://www.messageus.co/,Communications Infrastructure,-,operating,USA,CA,SF Bay Area,San Francisco,1.0,2015-04-01,2015-07-27,2015-07-27,2015-04-01,,,,,,9.9,Other,0,47.328656233135455,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/hopsy,Hopsy,https://www.hopsy.beer,Craft Beer,450000,operating,USA,CA,SF Bay Area,Albany,1.0,2015-04-01,2015-09-30,2015-09-30,2015-04-01,,,,,,9.9,Other,0,47.328656233135455,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/hireteammate,HireTeamMate,https://hireteammate.com/,Human Resources|Internet|Recruiting,-,operating,USA,CA,SF Bay Area,Palo Alto,2.0,2015-04-02,2015-04-01,2015-04-02,2015-04-02,,,,,,9.9,Other,0,47.328656233135455,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/threatbutt,Threatbutt,http://threatbutt.com/,Animal Feed|Cyber Security|Data Security|Homeland Security|Information Security|Network Security|Security|Theatre,12,operating,USA,CA,SF Bay Area,Menlo Park,1.0,2015-04-20,2015-04-28,2015-04-28,2015-04-20,,,,,,9.9,Other,0,47.328656233135455,2025-03-09
,,,,Crunchbase_Alt_companies.csv,/organization/stampery,Stampery,http://stampery.com,Document Management,600000,operating,USA,CA,SF Bay Area,San Francisco,1.0,2015-04-01,2015-11-18,2015-11-18,2015-04-01,,,,,,9.9,Other,0,47.328656233135455,2025-03-09
