links,location,funding,description,name,extracted_at
{},HQ:,Unknown,,Unknown Company 1,2025-04-08T05:10:26.577623
"{""Website"": ""https://www.numeric.io/?utm_source=topstartups.io"", ""Numeric"": ""https://www.numeric.io/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/numeric-io"", ""Check company site \ud83d\udccc"": ""https://www.numeric.io/?utm_source=topstartups.io"", ""View Jobs"": ""https://jobs.ashbyhq.com/numeric?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Numeric,2025-04-08T05:11:06.775135
"{""Website"": ""https://www.render.com/?utm_source=topstartups.io"", ""Render"": ""https://www.render.com/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/renderco"", ""Check company site \ud83d\udccc"": ""https://www.render.com/?utm_source=topstartups.io"", ""View Jobs"": ""https://render.com/careers?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Render,2025-04-08T05:11:46.925989
"{""Website"": ""https://www.harvey.ai/?utm_source=topstartups.io"", ""Harvey"": ""https://www.harvey.ai/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/harvey-ai/"", ""Check company site \ud83d\udccc"": ""https://www.harvey.ai/?utm_source=topstartups.io"", ""View Jobs"": ""https://jobs.ashbyhq.com/harvey?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Harvey,2025-04-08T05:12:27.142183
"{""Website"": ""https://semgrep.dev/?utm_source=topstartups.io"", ""Semgrep"": ""https://semgrep.dev/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/semgrep/"", ""Check company site \ud83d\udccc"": ""https://semgrep.dev/?utm_source=topstartups.io"", ""View Jobs"": ""https://boards.greenhouse.io/semgrep?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Semgrep,2025-04-08T05:13:07.390432
"{""Website"": ""http://www.hightouch.io/?utm_source=topstartups.io"", ""HighTouch.io"": ""http://www.hightouch.io/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/hightouchio"", ""Check company site \ud83d\udccc"": ""http://www.hightouch.io/?utm_source=topstartups.io"", ""View Jobs"": ""https://boards.greenhouse.io/hightouch/?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,HighTouch.io,2025-04-08T05:13:47.550486
"{""Website"": ""http://www.qventus.com/?utm_source=topstartups.io"", ""Qventus"": ""http://www.qventus.com/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://linkedin.com/company/qventus-inc"", ""Read reviews \u2b50"": ""https://www.glassdoor.com/Overview/Working-at-Qventus-EI_IE1687366.11,18.htm"", ""Check company site \ud83d\udccc"": ""http://www.qventus.com/?utm_source=topstartups.io"", ""View Jobs"": ""https://jobs.ashbyhq.com/qventus?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Qventus,2025-04-08T05:14:27.695954
"{""Website"": ""https://www.speak.com/?utm_source=topstartups.io"", ""Speak"": ""https://www.speak.com/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/usespeak"", ""Check company site \ud83d\udccc"": ""https://www.speak.com/?utm_source=topstartups.io"", ""View Jobs"": ""https://jobs.ashbyhq.com/speak/?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Speak,2025-04-08T05:15:07.897725
"{""Website"": ""http://databricks.com/?utm_source=topstartups.io"", ""Databricks"": ""http://databricks.com/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://linkedin.com/company/databricks"", ""Read reviews \u2b50"": ""https://www.glassdoor.com/Reviews/Databricks-Reviews-E954734.htm"", ""Check company site \ud83d\udccc"": ""http://databricks.com/?utm_source=topstartups.io"", ""View Jobs"": ""https://boards.greenhouse.io/embed/job_board?for=Databricks""}",San Francisco Bay Area,Unknown,,Databricks,2025-04-08T05:15:48.147253
"{""Website"": ""https://konghq.com/?utm_source=topstartups.io"", ""Kong"": ""https://konghq.com/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/konghq/"", ""Read reviews \u2b50"": ""https://www.glassdoor.com/Reviews/Kong-Reviews-E801963.htm"", ""Check company site \ud83d\udccc"": ""https://konghq.com/?utm_source=topstartups.io"", ""View Jobs"": ""https://jobs.lever.co/kong?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Kong,2025-04-08T05:16:28.344773
"{""Website"": ""http://cresta.com/?utm_source=topstartups.io"", ""Cresta"": ""http://cresta.com/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/cresta-inc/"", ""Read reviews \u2b50"": ""https://www.glassdoor.com/Reviews/Cresta-Reviews-E805613.htm"", ""Check company site \ud83d\udccc"": ""http://cresta.com/?utm_source=topstartups.io"", ""View Jobs"": ""https://job-boards.greenhouse.io/cresta/?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Cresta,2025-04-08T05:17:08.589076
"{""Website"": ""https://www.infinitus.ai/?utm_source=topstartups.io"", ""Infinitus"": ""https://www.infinitus.ai/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/infinitusai"", ""Check company site \ud83d\udccc"": ""https://www.infinitus.ai/?utm_source=topstartups.io"", ""View Jobs"": ""https://www.infinitus.ai/careers/?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Infinitus,2025-04-08T05:17:49.011034
"{""Website"": ""https://www.nooks.ai/?utm_source=topstartups.io"", ""Nooks"": ""https://www.nooks.ai/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/nooksapp"", ""Check company site \ud83d\udccc"": ""https://www.nooks.ai/?utm_source=topstartups.io"", ""View Jobs"": ""https://nooks.breezy.hr/?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Nooks,2025-04-08T05:18:29.357482
"{""Website"": ""https://decagon.ai/?utm_source=topstartups.io"", ""Decagon"": ""https://decagon.ai/?utm_source=topstartups.io"", ""See who works here \ud83e\udd1d"": ""https://www.linkedin.com/company/decagon-ai/"", ""Check company site \ud83d\udccc"": ""https://decagon.ai/?utm_source=topstartups.io"", ""View Jobs"": ""https://jobs.ashbyhq.com/decagon?utm_source=topstartups.io""}",San Francisco Bay Area,Unknown,,Decagon,2025-04-08T05:19:09.556146
