ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,location_start_date,location_end_date,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,parking_tax,transient_occupancy_tax,lic,lic_code_description,supervisor_district,neighborhoods_analysis_boundaries,dba_end_date,business_corridor
1285982-09-211,1127641,Htlv Sf Trs LLC,Bar 333,333 Battery St,San Francisco,CA,94111,2021-08-31T00:00:00.000,2021-08-31T00:00:00.000,2023-01-01T00:00:00.000,433 Clay St,San Francisco,94111,CA,7210-7219,Accommodations,False,False,H26 H87,Multiple,3,Chinatown,,
1259465-09-201,1117263,Tony Koo,Commercial Street Apartment,674 Commercial St Apt,San Francisco,CA,94111,2020-09-05T00:00:00.000,2020-09-05T00:00:00.000,2021-03-31T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2021-03-31T00:00:00.000,
0172839-01-001,0172839,Wentworth & Betty Fong Tr,1107-1111 Stockton St Building,1107 Stockton St #3,San Francisco,CA,94133,1988-05-20T00:00:00.000,1988-05-20T00:00:00.000,,354 2nd Ave Apt 1,San Francisco,94118,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,Chinatown
0087617-01-001,0087617,Lee Pak Chi & Sherrill,11 Winter Apts,11 Winter Pl,San Francisco,CA,94133,1974-01-16T00:00:00.000,1974-01-16T00:00:00.000,,11 Winter Pl Apt 4,San Francisco,94133,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1314306-09-221,1138825,Duve LLC,Duve LLC,733 Filbert St Apt 6,San Francisco,CA,94133,2022-09-16T00:00:00.000,2022-09-16T00:00:00.000,2023-06-23T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2023-06-23T00:00:00.000,
0103084-01-001,0103084,Chinn-Morales Carole,1050 Washington Apts,1050 Washington St,San Francisco,CA,94108,1976-01-01T00:00:00.000,1976-01-01T00:00:00.000,,782 10th Ave,San Francisco,94118,CA,7210-7219,Accommodations,False,False,,,3,Chinatown,,
1225505-06-191,1103325,Christina Petteway,Northstar Hosting,721 Green Street,San Francisco,CA,94133,2017-04-18T00:00:00.000,2017-04-18T00:00:00.000,2020-03-17T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2020-05-31T00:00:00.000,
0060906-06-001,0060906,Justice Investors Lp,Flute Coffee And Wine Bar,750 Kearny St,San Francisco,CA,94108,1970-12-07T00:00:00.000,2006-03-30T00:00:00.000,,750 Kearny St,San Francisco,94108,CA,7210-7219,Accommodations,False,False,H24,"RESTAURANT - UNDER 1,000 SQFT",3,Chinatown,,Chinatown
1227008-07-191,1103864,Josh Judd,888 Broadway St,888 Broadway St,San Francisco,CA,94133,2019-07-04T00:00:00.000,2019-07-04T00:00:00.000,2023-06-30T00:00:00.000,,,,,7210-7219,Accommodations,False,False,,,3,Chinatown,2023-06-30T00:00:00.000,
0954070-01-001,0954070,Castro Hotel Inc,Castro Hotel Inc,705 Vallejo St,San Francisco,CA,94133,1996-07-01T00:00:00.000,1996-07-01T00:00:00.000,,705 Vallejo St,San Francisco,94133,CA,7210-7219,Accommodations,False,True,HHH,HEALTHY HOUSING HOTELS,3,Chinatown,,
