company_name,funding_amount,industry,location,funding_rounds,founding_year,data_source,is_early_stage,is_startup,funding_category,Website,Country,funding_stage,Last Funding Date,announced_date,Investors,Description,Address,Lat,Long,Company Size,Tech stack,Marketing Stack,Design Stack,Product Stack
OpenAI,11300000000.0,Artificial Intelligence,San Francisco,8.0,2015.0,Crunchbase,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Anthropic,4100000000.0,Artificial Intelligence,San Francisco,3.0,2021.0,Crunchbase,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Databricks,3500000000.0,Data & Analytics,San Francisco,10.0,2013.0,Crunchbase,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Stripe,2200000000.0,FinTech,San Francisco,16.0,2010.0,Crunchbase,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Together AI,505000000.0,Artificial Intelligence,San Francisco,3.0,2022.0,Crunchbase,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Harvey,400000000.0,"Legal Tech, AI",San Francisco,3.0,2022.0,Crunchbase,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Airtable,735000000.0,Software,San Francisco,7.0,2012.0,Crunchbase,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Plaid,734000000.0,FinTech,San Francisco,8.0,2013.0,Crunchbase,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
Notion,343000000.0,Productivity,San Francisco,6.0,2016.0,Crunchbase,,True,Mega Round (>$100M),,,,,,,,,,,,,,,
BayArea Startup 1,20000000.0,Hardware,San Mateo,2.0,2023.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 2,100000000.0,MarTech,Sunnyvale,3.0,2022.0,Crunchbase,,True,Late Stage (≤$100M),,,,,,,,,,,,,,,
BayArea Startup 3,1000000.0,CleanTech,San Francisco,3.0,2021.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
BayArea Startup 4,20000000.0,Hardware,San Jose,4.0,2020.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 5,500000.0,Hardware,Mountain View,3.0,2021.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
BayArea Startup 6,10000000.0,PropTech,Sunnyvale,4.0,2019.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
BayArea Startup 7,5000000.0,SaaS,Mountain View,5.0,2019.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
BayArea Startup 8,100000000.0,FinTech,San Jose,2.0,2020.0,Crunchbase,,True,Late Stage (≤$100M),,,,,,,,,,,,,,,
BayArea Startup 9,1000000.0,AgTech,Sunnyvale,5.0,2024.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
BayArea Startup 10,50000000.0,PropTech,Menlo Park,3.0,2020.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 11,2000000.0,MarTech,San Francisco,4.0,2023.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
BayArea Startup 12,15000000.0,Robotics,Berkeley,4.0,2022.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 13,15000000.0,MarTech,San Francisco,4.0,2018.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 14,100000000.0,Cybersecurity,San Mateo,4.0,2024.0,Crunchbase,,True,Late Stage (≤$100M),,,,,,,,,,,,,,,
BayArea Startup 15,5000000.0,HealthTech,Mountain View,1.0,2023.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
BayArea Startup 16,100000000.0,MarTech,Oakland,2.0,2023.0,Crunchbase,,True,Late Stage (≤$100M),,,,,,,,,,,,,,,
BayArea Startup 17,15000000.0,HealthTech,Mountain View,1.0,2020.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 18,100000000.0,MarTech,Redwood City,3.0,2019.0,Crunchbase,,True,Late Stage (≤$100M),,,,,,,,,,,,,,,
BayArea Startup 19,15000000.0,FinTech,San Jose,2.0,2022.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 20,20000000.0,PropTech,San Francisco,5.0,2024.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 21,100000000.0,CleanTech,Palo Alto,5.0,2020.0,Crunchbase,,True,Late Stage (≤$100M),,,,,,,,,,,,,,,
BayArea Startup 22,2000000.0,FinTech,San Mateo,3.0,2021.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
BayArea Startup 23,15000000.0,CleanTech,Palo Alto,3.0,2018.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 24,15000000.0,Hardware,Palo Alto,2.0,2021.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 25,500000.0,E-commerce,San Mateo,5.0,2021.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
BayArea Startup 26,500000.0,Robotics,San Francisco,1.0,2019.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
BayArea Startup 27,15000000.0,FinTech,San Francisco,4.0,2018.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 28,1000000.0,AgTech,Sunnyvale,3.0,2024.0,Crunchbase,,True,Seed Stage (≤$1M),,,,,,,,,,,,,,,
BayArea Startup 29,15000000.0,AI,Oakland,5.0,2020.0,Crunchbase,,True,Growth Stage (≤$50M),,,,,,,,,,,,,,,
BayArea Startup 30,10000000.0,Biotech,Menlo Park,4.0,2024.0,Crunchbase,,True,Early Stage (≤$10M),,,,,,,,,,,,,,,
