company_name,Website,industry,Country,funding_amount,funding_stage,Last Funding Date,data_source,is_early_stage,is_startup,funding_category
Mercor,mercor.com,Artificial Intelligence,United States,75000000.0,Series B,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
Created by Humans,www.createdbyhumans.ai,Artificial Intelligence,United States,5500000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Manas AI,www.manasai.co,Artificial Intelligence,United States,24600000.0,Seed,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
BluWhale,bluwhale.net,"Artificial Intelligence, Cloud Computing",United States,75000000.0,Initial Coin Offering,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
Savant Labs,savantlabs.io,"Artificial Intelligence, Data, Analytics",United States,18500000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Athenic AI,Athenic.com,"Artificial Intelligence, Data, Analytics",United States,4300000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Delve,www.delve.co,"Artificial Intelligence, Data, Marketing",United States,3300000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Motif,motif.io,Augmented Reality,United States,46000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Atomicwork,www.atomicwork.com,Cloud Computing,United States,25000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Kroskod,Kroskod.com,Cloud Computing,United States,,Pre-Seed,Feb 2025,Growth List,True,True,Unknown
Roofr,roofr.com,"Construction, Marketplace, Aerospace",United States,,Series B,Feb 2025,Growth List,False,True,Unknown
Pakal Technologies,pakal-tech.com,Electronics,United States,25000000.0,Series B,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Smart Wires,www.smartwires.com,Energy,United States,65000000.0,Private Equity,Feb 2025,Growth List,False,True,Late Stage (≤$100M)
WeaveGrid,www.weavegrid.com,"Energy, Cloud Computing",United States,,Venture - Series Unknown,Feb 2025,Growth List,False,True,Unknown
Wisetack,www.wisetack.com,Finance,United States,25000000.0,Venture - Series Unknown,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Taxflow,www.jointaxflow.ai,"FinTech, Finance",United States,750000.0,Pre-Seed,Feb 2025,Growth List,True,True,Seed Stage (≤$1M)
Bicycle Health,www.bicyclehealth.com,Healthcare,United States,16500000.0,Venture - Series Unknown,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Delfina,www.delfina.com,Healthcare,United States,17000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Safely You,www.safely-you.com,"Healthcare, Family",United States,43000000.0,Series C,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Waterlily,www.waterlily.com,"Healthcare, Insurance, Family",United States,7000000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Tandem Space,tandem.space,Aerospace,United States,6100000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
Riot,tryriot.com,Artificial Intelligence,United States,30000000.0,Series B,Feb 2025,Growth List,False,True,Growth Stage (≤$50M)
Response,www.tryresponse.com,Artificial Intelligence,United States,4160000.0,Seed,Feb 2025,Growth List,True,True,Early Stage (≤$10M)
TrueFoundry,truefoundry.com,Artificial Intelligence,United States,19000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
Ivo,www.ivo.ai,"Artificial Intelligence, Marketing",United States,16000000.0,Series A,Feb 2025,Growth List,True,True,Growth Stage (≤$50M)
