uniqueid,ttxid,certificate_number,ownership_name,dba_name,full_business_address,city,state,business_zip,dba_start_date,location_start_date,mailing_address_1,mail_city,mail_zipcode,mail_state,naic_code,naic_code_description,naics_code_descriptions_list,parking_tax,transient_occupancy_tax,supervisor_district,neighborhoods_analysis_boundaries,location,data_as_of,data_loaded_at,dba_end_date,location_end_date,lic,lic_code_description,lic_code_descriptions_list,administratively_closed,business_corridor,is_tech_naics,is_tech_name,data_source
1248579-03-201-1112816,1248579-03-201,1112816,Jiancai Hu,Jiancai Construction,59 Dunsmuir St,San Francisco,CA,94134,2020-03-10T00:00:00.000,2020-03-10T00:00:00.000,59 Dunsmuir St,San Francisco,94134,CA,2300-2399,Construction,Construction,False,False,9,Portola,"{'type': 'Point', 'coordinates': [-122.4139005, 37.73025]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1248672-03-201-1109305,1248672-03-201,1109305,Julio C Cisneros,Handyman Construction Maintenance,915 Visitacion Ave,San Francisco,CA,94134,2019-12-01T00:00:00.000,2020-03-10T00:00:00.000,79 Clipper Ln,Modesto,95356,CA,8100-8139,Certain Services,Certain Services,False,False,10,Visitacion Valley,"{'type': 'Point', 'coordinates': [-122.408361, 37.711422]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1248666-03-201-1109305,1248666-03-201,1109305,Julio C Cisneros,Handyman Construction Maintenance,Po Box 56941,Hayward,CA,94545,2019-12-01T00:00:00.000,2020-03-10T00:00:00.000,79 Clipper Ln,Modesto,95356,CA,2300-2399,Construction,Construction,False,False,,,"{'type': 'Point', 'coordinates': [-122.11774, 37.64526]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,2020-03-10T00:00:00.000,,,,,,False,True,DataSF
1248724-03-201-1112899,1248724-03-201,1112899,The Hairapist Incorporated,The Hairapist Inc,3412 Balboa St,San Francisco,CA,94121,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,3412 Balboa St,San Francisco,94121,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,1,Outer Richmond,"{'type': 'Point', 'coordinates': [-122.495427, 37.776051]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1248757-03-201-1111777,1248757-03-201,1111777,"Insead North America, Inc.",Insead San Francisco Hub For Business Innovation,224 Townsend St,San Francisco,CA,94107,2020-02-14T00:00:00.000,2020-03-11T00:00:00.000,,,,,,,,False,False,6,South of Market,"{'type': 'Point', 'coordinates': [-122.3937045, 37.778535]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2024-06-30T00:00:00.000,2024-06-30T00:00:00.000,,,,***Administratively Closed,,False,True,DataSF
1248767-03-201-1112041,1248767-03-201,1112041,Approach Therapy Psychological Services Pc,Approach Therapy,2595 Mission St Ste 311,San Francisco,CA,94110,2020-01-13T00:00:00.000,2020-03-11T00:00:00.000,2595 Mission St 311 Ste,San Francisco,94110,CA,6100-6299,Private Education and Health Services,Private Education and Health Services,False,False,9,Mission,"{'type': 'Point', 'coordinates': [-122.418423, 37.755657]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1248712-03-201-1112892,1248712-03-201,1112892,Elizabeth B Hilton,Adventures In Fluency,1366 Turk St Apt 7d,San Francisco,CA,94115,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,,,,,5100-5199 6100-6299 7100-7199,Multiple,"Information; Private Education and Health Services; Arts, Entertainment, and Recreation",False,False,5,Western Addition,"{'type': 'Point', 'coordinates': [-122.431559311, 37.780602195]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2021-07-23T00:00:00.000,2021-07-23T00:00:00.000,,,,,,False,True,DataSF
1248775-03-201-1026299,1248775-03-201,1026299,Chaiyong Anyamas,Anyamas Chaiyong,2324 22nd Ave,San Francisco,CA,94116,2015-06-17T00:00:00.000,2020-03-11T00:00:00.000,2324 22nd Ave,San Francisco,94116,CA,,,,False,False,4,Sunset/Parkside,"{'type': 'Point', 'coordinates': [-122.4786825, 37.744281]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,H68,GENERAL MASSAGE PRACTITIONER,GENERAL MASSAGE PRACTITIONER,,,False,True,DataSF
1248758-03-201-1111777,1248758-03-201,1111777,"Insead North America, Inc.",San Francisco Hub For Business Innovation,224 Townsend St,San Francisco,CA,94107,2020-02-14T00:00:00.000,2020-03-11T00:00:00.000,,,,,,,,False,False,6,South of Market,"{'type': 'Point', 'coordinates': [-122.3937045, 37.778535]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2024-06-30T00:00:00.000,2024-06-30T00:00:00.000,,,,***Administratively Closed,,False,True,DataSF
1249155-03-201-1113073,1249155-03-201,1113073,"Caffeinated Capital Airtable Spv IIi Manager, LLC","Caffeinated Capital Airtable Spv IIi Manager, LLC",2655 Broderick St,San Francisco,CA,94123,2020-03-12T00:00:00.000,2020-03-12T00:00:00.000,,,,,,,,False,False,2,Pacific Heights,"{'type': 'Point', 'coordinates': [-122.44383, 37.794843]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2023-06-15T00:00:00.000,2023-06-15T00:00:00.000,,,,,,False,True,DataSF
1248863-03-201-0340774,1248863-03-201,0340774,Daiohs Usa Inc,Daioh's Usa Inc Dba First Choice Services,2423 Verna Ct,San Leandro,CA,94577,2010-03-08T00:00:00.000,2020-03-12T00:00:00.000,Is660 Midwest Rd Ste 120,Oakbrook Ter,60181,IL,,,,False,False,,,"{'type': 'Point', 'coordinates': [-122.172648004, 37.706278012]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1248804-03-201-1112929,1248804-03-201,1112929,Hoa Thi Hien Le,9 Nail Spa,1506 Franklin St,San Francisco,CA,94109,2020-03-12T00:00:00.000,2020-03-12T00:00:00.000,1506 Franklin St,San Francisco,94109,CA,8100-8139,Certain Services,Certain Services,False,False,2,Western Addition,"{'type': 'Point', 'coordinates': [-122.423427, 37.788633]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1249153-03-201-1113070,1249153-03-201,1113070,"Caffeinated Capital Airtable Spv IIi, LLC","Caffeinated Capital Airtable Spv IIi, LLC",2655 Broderick St,San Francisco,CA,94123,2020-03-12T00:00:00.000,2020-03-12T00:00:00.000,,,,,,,,False,False,2,Pacific Heights,"{'type': 'Point', 'coordinates': [-122.44383, 37.794843]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2023-06-15T00:00:00.000,2023-06-15T00:00:00.000,,,,,,False,True,DataSF
1251145-04-201-0342468,1251145-04-201,0342468,Corporate Data Strategies Inc,Corporate Data Strategies,18 Bartol St 161,San Francisco,CA,94133,2001-01-01T00:00:00.000,2020-03-12T00:00:00.000,2912 Diamond St,San Francisco,94131,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,3,North Beach,"{'type': 'Point', 'coordinates': [-122.4033255, 37.797912]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,2023-05-10T00:00:00.000,,,,,,False,True,DataSF
1250679-04-201-1113686,1250679-04-201,1113686,"Acquire App, Inc.","Acquire App, Inc.",852 Shrader St Apt 3,San Francisco,CA,94117,2020-03-12T00:00:00.000,2020-03-12T00:00:00.000,595 Pacific Ave 4 Fl,San Francisco,94133,CA,5400-5499,"Professional, Scientific, and Technical Services","Professional, Scientific, and Technical Services",False,False,8,Haight Ashbury,"{'type': 'Point', 'coordinates': [-122.4510795, 37.766853]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,2020-08-04T00:00:00.000,,,,,,False,True,DataSF
1248794-03-201-1112921,1248794-03-201,1112921,Uber Technologies Inc,Uber Technologies Inc,1725 3rd St,San Francisco,CA,94158,2020-03-11T00:00:00.000,2020-03-12T00:00:00.000,,,,,5210-5239 5400-5499 5600-5699 7210-7219 7220-7229,Multiple,"Financial Services; Professional, Scientific, and Technical Services; Administrative and Support Services; Accommodations; Food Services",False,False,6,Mission Bay,"{'type': 'Point', 'coordinates': [-122.388588, 37.767321]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,2020-03-11T00:00:00.000,2020-03-11T00:00:00.000,,,,,,False,True,DataSF
1248898-03-201-1112969,1248898-03-201,1112969,Catherine Ellsworth,Lion Leaf Tech,834 Faxon Ave,San Francisco,CA,94112,2020-03-13T00:00:00.000,2020-03-13T00:00:00.000,834 Faxon Ave,San Francisco,94112,CA,5100-5199,Information,Information,False,False,7,West of Twin Peaks,"{'type': 'Point', 'coordinates': [-122.459715, 37.728387]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
1262550-10-201-1118463,1262550-10-201,1118463,Larry Loc Vo,Lt Home Repair Service,615 Taraval St,San Fransisco,CA,94116,2001-03-15T00:00:00.000,2020-03-15T00:00:00.000,615 Taraval St,San Fransisco,94116,CA,,,,False,False,7,West of Twin Peaks,"{'type': 'Point', 'coordinates': [-122.472846, 37.742967]}",2025-03-09T00:00:00.000,2025-03-09T04:12:33.000,,,,,,,,False,True,DataSF
