Name,Website,Industry,Country,Funding Amount (USD),Funding Type,Last Funding Date,data_source
Mercor,mercor.com,Artificial Intelligence,United States,"$75,000,000",Series B,Feb 2025,Growth List
Created by Humans,www.createdbyhumans.ai,Artificial Intelligence,United States,"$5,500,000",Seed,Feb 2025,Growth List
Manas AI,www.manasai.co,Artificial Intelligence,United States,"$24,600,000",Seed,Feb 2025,Growth List
BluWhale,bluwhale.net,"Artificial Intelligence, Cloud Computing",United States,"$75,000,000",Initial Coin Offering,Feb 2025,Growth List
Savant Labs,savantlabs.io,"Artificial Intelligence, Data, Analytics",United States,"$18,500,000",Series A,Feb 2025,Growth List
Athenic AI,Athenic.com,"Artificial Intelligence, Data, Analytics",United States,"$4,300,000",Seed,Feb 2025,Growth List
Delve,www.delve.co,"Artificial Intelligence, Data, Marketing",United States,"$3,300,000",Seed,Feb 2025,Growth List
Motif,motif.io,Augmented Reality,United States,"$46,000,000",Series A,Feb 2025,Growth List
Atomicwork,www.atomicwork.com,Cloud Computing,United States,"$25,000,000",Series A,Feb 2025,Growth List
Kroskod,Kroskod.com,Cloud Computing,United States,,Pre-Seed,Feb 2025,Growth List
Roofr,roofr.com,"Construction, Marketplace, Aerospace",United States,,Series B,Feb 2025,Growth List
Pakal Technologies,pakal-tech.com,Electronics,United States,"$25,000,000",Series B,Feb 2025,Growth List
Smart Wires,www.smartwires.com,Energy,United States,"$65,000,000",Private Equity,Feb 2025,Growth List
WeaveGrid,www.weavegrid.com,"Energy, Cloud Computing",United States,,Venture - Series Unknown,Feb 2025,Growth List
Wisetack,www.wisetack.com,Finance,United States,"$25,000,000",Venture - Series Unknown,Feb 2025,Growth List
Taxflow,www.jointaxflow.ai,"FinTech, Finance",United States,"$750,000",Pre-Seed,Feb 2025,Growth List
Bicycle Health,www.bicyclehealth.com,Healthcare,United States,"$16,500,000",Venture - Series Unknown,Feb 2025,Growth List
Delfina,www.delfina.com,Healthcare,United States,"$17,000,000",Series A,Feb 2025,Growth List
Safely You,www.safely-you.com,"Healthcare, Family",United States,"$43,000,000",Series C,Feb 2025,Growth List
Waterlily,www.waterlily.com,"Healthcare, Insurance, Family",United States,"$7,000,000",Seed,Feb 2025,Growth List
Tandem Space,tandem.space,Aerospace,United States,"$6,100,000",Seed,Feb 2025,Growth List
Riot,tryriot.com,Artificial Intelligence,United States,"$30,000,000",Series B,Feb 2025,Growth List
Response,www.tryresponse.com,Artificial Intelligence,United States,"$4,160,000",Seed,Feb 2025,Growth List
TrueFoundry,truefoundry.com,Artificial Intelligence,United States,"$19,000,000",Series A,Feb 2025,Growth List
Ivo,www.ivo.ai,"Artificial Intelligence, Marketing",United States,"$16,000,000",Series A,Feb 2025,Growth List
Warmly,warmly.ai,"Artificial Intelligence, Sales",United States,"$6,000,000",Series A,Feb 2025,Growth List
Plume Network,www.plumenetwork.xyz,Blockchain,United States,,Venture - Series Unknown,Feb 2025,Growth List
Monograph,monograph.com,"Cloud Computing, Architecture",United States,"$20,000,000",Series B,Feb 2025,Growth List
Trace.Space,trace.space,"Cloud Computing, Artificial Intelligence",United States,"$4,000,000",Seed,Feb 2025,Growth List
Semgrep,semgrep.dev,"Cyber Security, Analytics",United States,"$100,000,000",Series D,Feb 2025,Growth List
Converge,www.runconverge.com,"Data, Marketing",United States,"$5,600,000",Venture - Series Unknown,Feb 2025,Growth List
Archive,www.archiveresale.com,"E-commerce, Fashion, Marketplace",United States,"$30,000,000",Series B,Feb 2025,Growth List
TaxGPT,www.taxgpt.com,"Finance, Artificial Intelligence",United States,"$4,600,000",Seed,Feb 2025,Growth List
Sotira,sotira.co,"FinTech, Finance",United States,"$2,000,000",Pre-Seed,Feb 2025,Growth List
Little Otter,www.littleotterhealth.com,"Healthcare, Mental Health",United States,"$9,500,000",Venture - Series Unknown,Feb 2025,Growth List
Fay,www.faynutrition.com,"Healthcare, Wellness, Nutrition and Supplements",United States,"$50,000,000",Series B,Feb 2025,Growth List
Tyba,www.tyba.ai,"Human Resources, Recruiting, Artificial Intelligence",United States,"$13,900,000",Series A,Feb 2025,Growth List
Mixedbread,mixedbread.ai,Artificial Intelligence,United States,"$5,500,000",Seed,Feb 2025,Growth List
Fal,www.fal.ai,Artificial Intelligence,United States,"$49,000,000",Series B,Feb 2025,Growth List
Pinkfish,www.pinkfish.ai,Artificial Intelligence,United States,"$7,600,000",Pre-Seed,Feb 2025,Growth List
Future AGI,futureagi.com,Artificial Intelligence,United States,"$1,600,000",Pre-Seed,Feb 2025,Growth List
Harvey,harvey.ai,"Artificial Intelligence, Legal",United States,"$300,000,000",Series D,Feb 2025,Growth List
Tofu,www.tofuhq.com,Cloud Computing,United States,"$12,000,000",Series A,Feb 2025,Growth List
Hydro Wind Energy,www.hw.energy,Energy,United States,"$82,660",Equity Crowdfunding,Feb 2025,Growth List
Limited,limitedapp.com,Finance,United States,"$3,000,000",Pre-Seed,Feb 2025,Growth List
Comulate,www.comulate.com,"Finance, Analytics",United States,"$20,000,000",Series B,Feb 2025,Growth List
