Company,Total_Employees,Industry,Website,Funding_Date,Funding_Type,Funding_Amount_USD,Headquarters,Extraction_Time,Page
Rembrand,56,0,http://www.rembrand.com,2-Jan-25,Series A,23000000,"Los Altos, California, United States",2025-04-15 16:29:59,1
Wurthy,13,0,http://www.wurthy.co,30-Dec-24,Seed,0,"San Francisco, California, United States",2025-04-15 16:29:59,1
Frontier Bio,14,research,http://www.frontierbio.com,25-Dec-24,Seed,1300000,"Hayward, California, United States",2025-04-15 16:29:59,1
Courtyard,28,0,http://www.courtyard.io,23-Dec-24,Venture - Series Unknown,4500000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Pasadena Private Lending,9,financial services,http://www.pasadena-private-lending.com,19-Dec-24,Debt Financing,50000000,"Pasadena, California, United States",2025-04-15 16:29:59,1
Tenor,5,information technology & services,http://www.tenorhq.com,19-Dec-24,Seed,5400000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Earli,37,research,http://www.earli.com,19-Dec-24,Undisclosed,60000000,"South San Francisco, California, United States",2025-04-15 16:29:59,1
Child Family Health International,68,nonprofit organization management,http://www.cfhi.org,19-Dec-24,Grant,7500,"San Francisco, California, United States",2025-04-15 16:29:59,1
SandboxAQ,290,information technology & services,http://www.sandboxaq.com,18-Dec-24,Private Equity,300000000,"Palo Alto, California, United States",2025-04-15 16:29:59,1
Plume Network,29,information technology & services,http://www.plumenetwork.xyz,18-Dec-24,Series A,20000000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Hamming AI,12,0,http://www.hamming.ai,18-Dec-24,Seed,3800000,"San Francisco, California, United States",2025-04-15 16:29:59,1
CourtScribes,21,legal services,http://www.courtscribes.com,18-Dec-24,Undisclosed,512474,"San Francisco, California, United States",2025-04-15 16:29:59,1
Perplexity,300,information technology & services,http://www.perplexity.ai,18-Dec-24,Private Equity,500000000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Lyten,290,mechanical or industrial engineering,http://www.lyten.com,18-Dec-24,Debt Financing,650000000,"San Jose, California, United States",2025-04-15 16:29:59,1
Fairbanc,38,information technology & services,http://www.fairbanc.app,18-Dec-24,Debt Financing,50000000000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Mojave Energy Systems,40,machinery,http://www.mojavehvac.com,18-Dec-24,Series A,9500000,"Palo Alto, California, United States",2025-04-15 16:29:59,1
Fraction AI,6,information technology & services,http://www.fractionai.xyz,18-Dec-24,Pre-Seed,6000000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Schwarm Technologies Inc.,27,information technology & services,http://www.schwarm.com,17-Dec-24,Undisclosed,3027055,"San Francisco, California, United States",2025-04-15 16:29:59,1
Landbase,45,0,http://www.landbase.com,17-Dec-24,Venture - Series Unknown,12500000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Acre,15,real estate,http://www.acrehomes.com,17-Dec-24,Seed,10000000,"San Francisco, California, United States",2025-04-15 16:29:59,1
Finexio,72,information technology & services,http://www.finexio.com,17-Dec-24,Debt Financing,10000000,"San Mateo, California, United States",2025-04-15 17:01:28,2
Anatomy Financial,20,0,http://www.anatomy.com,17-Dec-24,Series A,19000000,"San Francisco, California, United States",2025-04-15 17:01:28,2
