Name,Website,Industry,Country,Funding Amount,Funding Type,Last Funding Date
CompScience,www.compscience.com,Artificial Intelligence,United States,"$27,600,000",Series B,Mar 2025
DeepNight,www.deepnight.ai,Artificial Intelligence,United States,"$5,500,000",Seed,Mar 2025
Quanta,www.usequanta.com,"Artificial Intelligence, Information Technology",United States,"$4,700,000",Seed,Mar 2025
Doifoo,doifoo.com,"Artificial Intelligence, Travel",United States,,Pre-Seed,Mar 2025
Loyal,loyalfordogs.com,Biotechnology,United States,"$22,000,000",Series B,Mar 2025
SimCare AI,www.somalab.ai,"Biotechnology, Healthcare, Artificial Intelligence",United States,"$2,000,000",Seed,Mar 2025
Rad Security,rad.security,"Cloud Computing, Cyber Security",United States,"$14,000,000",Series A,Mar 2025
Metronome,metronome.com,"Cloud Computing, Finance",United States,"$50,000,000",Series C,Mar 2025
Vana,www.vana.org,Data,United States,,Venture - Series Unknown,Mar 2025
Bitwise,www.bitwiseinvestments.com,"Finance, Investing, Blockchain",United States,"$70,000,000",Venture - Series Unknown,Mar 2025
Charta Health,www.chartahealth.com,"Healthcare, Data, Information Technology",United States,"$8,100,000",Seed,Mar 2025
FirstWork,www.firstwork.com,"Human Resources, Recruiting",United States,"$5,000,000",Seed,Mar 2025
Regie.ai,www.regie.ai,"Marketing, Artificial Intelligence",United States,"$30,000,000",Series B,Mar 2025
Journify,www.journify.io,"Mobile, Mental Health, Wellness",United States,"$4,000,000",Seed,Mar 2025
Ceramic,ceramic.ai,Artificial Intelligence,United States,"$12,000,000",Seed,Mar 2025
Anthropic,www.anthropic.com,Artificial Intelligence,United States,"$3,500,000,000",Series E,Mar 2025
GuidenAI,guidenai.com,Artificial Intelligence,United States,"$25,000",Pre-Seed,Mar 2025
Intangible,www.intangible.ai,"Artificial Intelligence, Cloud Computing",United States,"$4,000,000",Seed,Mar 2025
Freed,www.getfreed.ai,"Artificial Intelligence, Cloud Computing",United States,"$30,000,000",Series A,Mar 2025
UptimeAI,www.uptimeai.com,"Artificial Intelligence, Cloud Computing",United States,,Venture - Series Unknown,Mar 2025
LlamaIndex,www.llamaindex.ai,"Artificial Intelligence, Cloud Computing, Data",United States,"$19,000,000",Series A,Mar 2025
Momentic,momentic.ai,"Artificial Intelligence, Data, Analytics",United States,"$3,700,000",Seed,Mar 2025
Peregrine Technologies,peregrine.io,"Cloud Computing, Data, Government, Community",United States,"$190,000,000",Series C,Mar 2025
Beacon.li,www.beacon.li,"Cloud Computing, Electronics",United States,"$7,000,000",Series A,Mar 2025
Coalition,www.coalitioninc.com,Cyber Security,United States,"$30,000,000",Private Equity,Mar 2025
Zocks,zocks.io,"Finance, Blockchain, Artificial Intelligence",United States,"$13,800,000",Series A,Mar 2025
Ria Health,www.riahealth.com,Healthcare,United States,,Series B,Mar 2025
MaxIQ,www.getmaxiq.com,"Healthcare, Artificial Intelligence",United States,"$7,800,000",Seed,Mar 2025
Spiritus,spiritus.com,"Healthcare, Electronics",United States,"$30,000,000",Series A,Mar 2025
Outmarket AI,outmarket.ai,"Marketing, Artificial Intelligence",United States,"$4,700,000",Seed,Mar 2025
Podqi,www.podqi.com,"Architecture, Media",United States,"$3,200,000",Seed,Mar 2025
Invector,invector.co,Artificial Intelligence,United States,,Seed,Mar 2025
Causal Labs,www.getcausal.ai,"Artificial Intelligence, Cloud Computing",United States,"$6,000,000",Seed,Mar 2025
Sayso,sayso.ai,"Artificial Intelligence, Cloud Computing",United States,"$40,000,000",Seed,Mar 2025
nunu.ai,nunu.ai,"Artificial Intelligence, Cloud Computing",United States,"$6,000,000",Seed,Mar 2025
