company_name,location,state,founding_year,data_source,website,description,funding,industry,tags
1076 Capp,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
115 Moffitt Air Bnb,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
1552 Haight Street,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
40x0 Training,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
41x1 Training,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
435 Duncan St Airbnb,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
581 Capp Street,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
848 Clement Street Tai Hing Books & Gifts,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
949 Capp,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
A&S Painting And Plastering Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
A1 Bright Maid,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Abigail Edber,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Aciif Ai Forensics Celta Academy,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Adornment Painting Inc.,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Advanced Data Sciences,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Advanced Heating And Air,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Agentbaseai Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Ai Receptionist Agency,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Ai System,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Aidens Quality Painting Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Aiherbs Inc,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Aimee Duddridge-Picard,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Aimee Golant: Metal Art & Judaica,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Air Sharks,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Airbnb,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Aireserv Of Campbell And Saratoga,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Aiurion Inc.,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Al Aignment Liaison,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Alamere Digital LLC,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Alice Nails,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
All Pro Painting Inc,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Alp Construction & Painting Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
"Ambr Technologies, Inc.",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
American School Of Emerging Technology,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Amine Jemai,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Amy Tai,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Angstrom Ai Inc.,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Appliance Repair SF,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Appreciation Coffee,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Appu Tattoos,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Aquatic Technology Pool & Spa,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Armored Air Heating & Air Conditioning,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Artist Liaison Agency,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Atlas Voice & Data LLC,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Avail Engineering,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Bamboo Nails,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Bay Area Mobile Diagnostics,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Bay-Valley Painting, Inc.",San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Baytek Indoor Air Solutions,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Bdo Digital, LLC",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Bear Paws Training & Animal Communication,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Ben Edmondson Building Maintenance Company,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Best Coast Sailing,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Better Hairdays,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Blackhawk Painting, Inc.",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Brightwright-Techcomm LLC,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Caias Cookies,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
"Caias Cookies, LLC",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
"Caitlin Odonnell, Psyd, Psychotherapy Inc.",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Caiye Huang,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Caldata Communications,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"California College Of Business, Science & Technology",San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Calpro Construction & Painting,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
"Capernaum Ai, Inc.",San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Capture Technologies A Division Of Identisys, Inc.",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Caretech Innovations LLC,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Central Haight Market,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Chutikarn Sukmongkolchai,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Cje Heating And Air,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Claire Bonham-Carter,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Clarity Ai Research Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Clearscope Technology Solutions,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Clinton Park Airbnb,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Cloud N Books Pc,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Cloud95,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Cloudcruise, Inc.",San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Cloudxpress,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Cogent Infotech,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Comfort Home Heating & Air,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Cooper Oates Air Conditioning, Inc.",San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Cordata Healthcare Innovations, Inc.",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
D & F Mobile Truck Repair,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
D Air Balance Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Daily Accounting Services,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Dannys Hair Studio SF,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Dariyana Ukrainian Crepes,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Data Sync Communication Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Dba Vetsentry/River City Data,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Deconvolute Ai Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
"Deepseq.Ai, Inc.",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Diane Martinez - Certified Personal Trainer (Cpt),San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Diego Data,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Digital Mobile Innovations LLC,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Dodirtys Security And Maintenance,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Done Right Heating And Air,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Draintek Plumbing Inc,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Dynamic Map Platform North America Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Eckerts Mobile Phones,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Edgewood Contruction & Home Repair,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Ees Nails,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Eg Painting,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Eightai Inc.,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Elearning Lair Corp,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Erica Maissy,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Escobar Pro Painting Corp,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Evolve Digitally LLC,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Excellence Heating And Air,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Expand Power Technologies, Inc.",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Failup Management Advisory Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Fairbrook,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Flagship Training,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Flagship Training Fidi,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Flare App Inc,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Flenser Entertainment Rights,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Foam Ai,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Fog City Detail,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Forte Fintech,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Forte Fintech LLC,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Foundry Technologies, Inc.",San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Freemans Heating Air Conditioning & Electrical Services,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Friendly App Studio,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Furry Friends Dog Training,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Gaa Auto Repair And Body Shop,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Gaines Event Staffing,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Gateway Mountain Center,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Gb Heating And Air, Inc",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
General Hvac Electric And Appliance Repair,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
"Go Technology Management, LLC",San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Golden Bear Heating And Air,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
"Golden State Training, LLC",San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Gp Mobile Solutions LLC,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Green Windows Repairs,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Gregory Training Center,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Haight Street Eyecare,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Hair By Becca LLC,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Hair By The Ts Misty,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Hair Caffe Lab,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Hairglim Beauty,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Hairsbybren,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Hand Wash Detailing SF,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Happy Cozy Rental,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Happy Junk Truck,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Happy Patches LLC,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Happy Poke,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Happy Teachers,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Happy Tots Sf Daycare,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Hawkeye Safety Training,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Heat Technology Products,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Heating And Air Design,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Hero Auto Detailing,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Hi-Lite Airfield Services, LLC",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
High-Growth Digital,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Home Front Heating And Air Conditioning Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Hometown Heating & Air,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Humantech,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Hung Mai Corporation Dba Floor Pros,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
"Hydra Technologies, LLC",San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
In Place Technology Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Informa Tech LLC,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Innovatics Ai LLC,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Insul-Tech Contracting,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Iz Painting,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Jackdanyels Mobile Car Wash And Detailing,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Jairo A Medina Mayorga,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
Jamila Voltaire,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Jb Painting,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Joannabuksahair,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Js Information Technology Solutions LLC,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Js Technology Ventures Inc,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Junaid Basir Reinforce,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
K&K Nail Studio,San Francisco,CA,2024,bay_area_startups_master.csv,,,,,
Kai Morgan,San Francisco,CA,2025,bay_area_startups_master.csv,,,,,
